Endroits,Latitude,Longitude
Abbeville,50.06N,01.49E
Adour,43.32N,01.32W
Agde,43.19N,03.28E
Agen,44.12N,00.38E
Aigues-Mortes,43.35N,04.12E
L'Aisne,49.26N,02.50E
Aix-en-Provence,43.22N,05.27E
Aix-les-Bains,45.41N,05.53E
Ajaccio,41.55N,08.40E
Albertville,45.40N,06.22E
Albi,43.56N,02.09E
Alençon,48.27N,00.04E
Alès,44.09N,04.05E
L'Allier,46.57N,03.04E
Alsace,48.15N,0725E
Amboise,47.24N,01.02E
Amiens,49.54N,02.16E
Irrite,47.30N,00.35W
Angoulême,45.39N,00.10E
Anmgoumois,45.50N,00.25E
L'Anjou,47.20N,00.15W
Annecy,45.55N,06.08E
Antibes,43.34N,07.06E
"Aquitain, Bassin",44.00N,00.30W
Arachon,44.40N,01.10W
Argentan,48.45N,00.01W
Arles,43.41N,04.40E
Arras,50.17N,02.46E
"Arree, Mts. d',",48.26N,03.55W
Artois,50.20N,02.30E
Aubagne,43.17N,05.37E
Aube,48.34N,03.43E
Aubusson,45.57N,02.11E
Auch,43.39N,00.36E
L'Aude,43.13N,03.14E
Aunis,46.05N,00.50W
Aurillac,44.55N,02.26E
Autun,46.58N,04.17E
Auvergane,45.20N,03.15E
"Auvergane, Mts. d",45.20N,02.55E
Auxere,47.48N,03.32E
Avallon,47.30N,03.53E
Avignon,43.57N,04.50E
Avranches,48.40N,01.20W
Nu-le-Duc,48.47N,05.10E
"Barfleur, PTE. De.",49.42N,01.16W
Bastia,42.40N,09.30E
Bayeux,49.17N,00.42W
Bayonne,43.30N,01.28W
Bearn,43.20N,00.30W
"Beauce, La de Plaine De",48.10N,01.45E
Beaune,47.02N,04.50E
Beauvais,49.25N,02.08E
Belfort,47.38N,06.50E
Belle Ile,47.20N,03.10W
Bergerac,44.51N,00.30E
Baie,46.50N,02.00E
Besançon,47.15N,06.02E
Bethune,50.30N,02.28E
Beziers,43.20N,03.12E
Biarritz,43.29N,01.33W
Blois,47.35N,01.20E
Bolbec,49.30N,00.30E
Bonifacio,41.24N,09.10E
Bordeaux,44.50N,00.36W
Boulogne-sur-Mer,50.42N,01.36E
Bourbonnais,46.28N,03.00E
Bourg-en-Bresse,46.13N,05.12E
Bourg-rue-Maurice,45.35N,06.46E
Bourges,47.09N,02.25E
Bourgogne,47.00N,04.50E
"Le braillement, paye le De",49.46N,01.26E
Brest,48.24N,04.31W
Brestagne,48.10N,03.00W
Briancon,44.54N,06.39E
Brittany/Bretagne,48.10N,03.00W
Brive-La-Gaillarde,45.10N,01.32E
Bruay-La-Buissiere,50.29N,02.33E
Bourgogne/Bourgogne,47.00N,04.50E
Caen,49.10N,00.22W
Cahors,44.27N,01.27E
Calais,50.57N,01.56E
Calvi,42.34N,08.45E
Camargue,43.34N,04.34E
Cambrai,50.11N,03.14E
Cannes,43.32N,07.01E
"Le Cantal, Plomb du",45.03N,02.45E
Carcassonne,43.13N,02.20E
Carmaux,44.03N,02.10E
Carnac,47.35N,03.06W
Carpentras,44.03N,05.02E
Castelsarrasin,44.02N,01.07E
Castres,43.37N,02.13E
"Caux, paye le De",49.38N,00.35E
Cevennes,44.10N,03.50E
Chalon-sur-saone,46.48N,04.50E
Chalons-en-Champagne,48.58N,04.20E
Chambéry,45.34N,05.55E
Chamonix-Mont Blanc,45.55N,06.51E
Champagne,48.40N,04.20E
Charente,45.57N,01.05W
Charleville-Mezieres,49.44N,04.40E
Charolles,46.27N,04.16E
Chartes,48.29N,01.30E
Chateaubriant,47.43N,01.23W
Chateaulin,48.11N,04.08W
Châteauroux,46.50N,01.40E
Chatellerault,46.50N,00.30E
